                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37848,                0.77084,                0.92179,                 0.4011,                 1.6832,                 0.9208,                0.96061,                0.98215,                0.99187,                0.98053,                0.22135,                0.40564,                0.77536,                0.23667,                 1.2125,                 0.7771,             0.00066522,             0.00066522,             0.00066522
                      2,                0.35129,                0.42339,                 0.8978,                0.40438,                0.79502,                 0.9216,                0.96771,                0.96538,                0.99056,                0.97812,                0.24569,                0.31966,                0.77493,                0.23267,                0.55635,                0.77508,              0.0013187,              0.0013187,              0.0013187
                      3,                0.35532,                0.37409,                0.89589,                0.41986,                0.50234,                0.92042,                0.95697,                0.98516,                 0.9913,                0.97558,                0.23171,                0.26843,                0.77361,                0.25111,                0.32355,                0.77916,               0.001959,               0.001959,               0.001959
                      4,                0.32669,                0.31822,                0.88529,                0.37406,                0.35797,                0.90423,                0.99044,                0.97718,                0.99426,                0.98246,                0.20932,                0.21405,                 0.7698,                0.23272,                0.19321,                0.77394,              0.0019406,              0.0019406,              0.0019406
                      5,                0.32398,                0.28919,                0.88676,                0.37388,                0.29472,                0.90482,                0.98795,                0.99195,                0.99422,                0.97978,                0.20179,                0.19413,                0.76899,                0.25338,                0.16644,                0.77682,              0.0019406,              0.0019406,              0.0019406
                      6,                0.33064,                  0.298,                0.89089,                0.37927,                0.29414,                0.91066,                0.98791,                0.98389,                 0.9942,                0.98268,                0.21974,                0.20656,                0.77304,                0.23849,                0.15887,                0.77843,              0.0019208,              0.0019208,              0.0019208
                      7,                0.30308,                0.27077,                0.87703,                0.35688,                0.25544,                0.89804,                0.99317,                0.97577,                0.99432,                 0.9891,                0.18246,                0.17283,                0.76608,                0.18901,                0.13624,                0.77047,               0.001901,               0.001901,               0.001901
                      8,                0.29004,                0.25102,                0.87652,                0.33595,                0.22519,                0.89443,                0.97886,                0.99466,                0.99409,                0.99052,                0.17664,                0.16502,                0.76474,                 0.1665,                0.11102,                0.76616,              0.0018812,              0.0018812,              0.0018812
                      9,                0.29232,                0.25145,                0.87761,                0.32756,                0.21463,                0.89297,                0.99218,                0.99463,                0.99482,                0.99175,                0.16484,                0.15632,                0.76331,                0.17418,                0.09362,                0.76615,              0.0018614,              0.0018614,              0.0018614
                     10,                 0.2792,                0.24228,                0.87168,                0.31806,                0.20393,                0.88798,                0.98929,                0.99172,                0.99369,                0.98811,                0.19212,                0.17293,                0.76674,                 0.2036,                0.11267,                0.76775,              0.0018416,              0.0018416,              0.0018416
